epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,974.638,0.88432,0.69317,1.03298,0.59178,0.34046,0.33857,0.18995,1.62737,1.64635,1.43428,0.000546421,0.000546421,0.000546421
144,981.45,0.89056,0.7121,1.02892,0.5658,0.36454,0.33816,0.1863,1.52203,1.59735,1.34612,0.000541253,0.000541253,0.000541253
145,988.225,0.90243,0.69852,1.04012,0.69854,0.33995,0.36691,0.20899,1.84502,1.63504,1.66421,0.000536081,0.000536081,0.000536081
146,994.809,0.90016,0.70698,1.03106,0.47216,0.31575,0.33219,0.18618,1.68637,1.60737,1.4169,0.000530906,0.000530906,0.000530906
147,1001.65,0.87997,0.69111,1.03173,0.48813,0.41735,0.40278,0.22026,1.7133,1.58378,1.43824,0.000525728,0.000525728,0.000525728
148,1008.33,0.88212,0.68333,1.02917,0.44249,0.49069,0.3466,0.19479,1.73945,1.55159,1.47507,0.000520548,0.000520548,0.000520548
149,1015,0.8858,0.71249,1.02586,0.54971,0.35831,0.40618,0.22856,1.58399,1.54608,1.38796,0.000515366,0.000515366,0.000515366
150,1021.7,0.86608,0.68044,1.02698,0.6541,0.32223,0.37668,0.22939,1.68981,1.55665,1.42534,0.000510184,0.000510184,0.000510184
151,1028.36,0.87628,0.68487,1.01819,0.5113,0.4919,0.40432,0.2302,1.65732,1.50479,1.45352,0.000505,0.000505,0.000505
152,1035.08,0.87901,0.67848,1.01701,0.54785,0.43727,0.43511,0.23067,1.71384,1.6069,1.43637,0.000499816,0.000499816,0.000499816
153,1041.94,0.87626,0.68435,1.02753,0.57216,0.39623,0.32381,0.18286,1.76219,1.67352,1.43793,0.000494634,0.000494634,0.000494634
154,1049.11,0.87447,0.68118,1.01529,0.61329,0.39494,0.42538,0.2468,1.80437,1.70881,1.45134,0.000489452,0.000489452,0.000489452
155,1055.72,0.87548,0.67343,1.02565,0.67353,0.3932,0.45365,0.25138,1.7216,1.6733,1.42597,0.000484272,0.000484272,0.000484272
156,1062.36,0.87546,0.67509,1.01137,0.54414,0.38878,0.39814,0.23975,1.69452,1.5903,1.40971,0.000479094,0.000479094,0.000479094
157,1069.02,0.83534,0.65754,1.00552,0.60479,0.39407,0.4043,0.23278,1.75907,1.72641,1.44089,0.000473919,0.000473919,0.000473919
158,1075.82,0.85268,0.68054,1.01201,0.63572,0.30878,0.39709,0.21947,1.67869,1.63684,1.44615,0.000468747,0.000468747,0.000468747
159,1082.73,0.84236,0.64043,1.01727,0.5613,0.3246,0.37297,0.22428,1.63759,1.57298,1.4203,0.000463579,0.000463579,0.000463579
160,1089.92,0.85701,0.65794,1.01316,0.47548,0.43449,0.45306,0.26851,1.65032,1.54402,1.39713,0.000458416,0.000458416,0.000458416
161,1096.09,0.83885,0.63543,1.00763,0.5952,0.42599,0.42606,0.24103,1.68157,1.67933,1.41433,0.000453258,0.000453258,0.000453258
162,1102.44,0.84933,0.649,1.01055,0.55872,0.43928,0.38039,0.22549,1.66545,1.50804,1.41638,0.000448106,0.000448106,0.000448106
163,1109.23,0.85306,0.65226,1.01468,0.78602,0.36023,0.41738,0.25133,1.65075,1.49465,1.41227,0.00044296,0.00044296,0.00044296
164,1115.58,0.8495,0.6582,1.0179,0.66714,0.40875,0.42665,0.25947,1.69704,1.53121,1.42496,0.000437821,0.000437821,0.000437821
165,1121.04,0.81774,0.63076,1.00015,0.70036,0.39803,0.42533,0.25935,1.68296,1.54086,1.40114,0.000432689,0.000432689,0.000432689
166,1127.25,0.82851,0.645,0.9987,0.76547,0.37074,0.40575,0.24874,1.7628,1.54036,1.40371,0.000427565,0.000427565,0.000427565
167,1134.24,0.80228,0.62025,1.00416,0.54617,0.41439,0.39968,0.24054,1.74414,1.57899,1.42596,0.000422449,0.000422449,0.000422449
168,1141.21,0.81989,0.62552,1.00555,0.69903,0.37679,0.44005,0.27343,1.70348,1.70612,1.39485,0.000417343,0.000417343,0.000417343
169,1147.97,0.8096,0.6176,0.98825,0.67131,0.39919,0.41544,0.26077,1.66454,1.56101,1.39106,0.000412246,0.000412246,0.000412246
170,1155.03,0.82736,0.62128,0.99393,0.64797,0.41092,0.37856,0.23367,1.61569,1.46456,1.39434,0.00040716,0.00040716,0.00040716
171,1161.57,0.81259,0.61775,0.9985,0.66733,0.34892,0.37369,0.23217,1.64122,1.4737,1.42933,0.000402084,0.000402084,0.000402084
172,1167.32,0.82432,0.61186,1.00335,0.65045,0.38239,0.37126,0.22817,1.68151,1.53433,1.40138,0.000397019,0.000397019,0.000397019
173,1172.62,0.82536,0.61037,0.99654,0.64925,0.37554,0.4017,0.24237,1.68672,1.57628,1.40262,0.000391966,0.000391966,0.000391966
174,1177.91,0.81326,0.61375,0.99792,0.65641,0.39381,0.38329,0.22525,1.6975,1.52513,1.43803,0.000386926,0.000386926,0.000386926
